date,w_AAPL,w_AMZN,w_GOOGL,w_JNJ,w_JPM,w_MA,w_MSFT,w_NVDA,w_ORCL,w_TSLA,ret_AAPL,ret_AMZN,ret_GOOGL,ret_JNJ,ret_JPM,ret_MA,ret_MSFT,ret_NVDA,ret_ORCL,ret_TSLA,portfolio_pnl,turnover,equal_weight_pnl,equal_weight_turnover,mvo_pnl,mvo_turnover
2022-03-14T00:00:00,0.050084,0.056471,0.055041,0.030288,0.058438,0.025598,0.054567,0.409562,0.229349,0.030603,0.029677,0.038868,0.02578,0.025919,0.017746,0.019508,0.038743,0.077028,0.045803,0.046348,0.053006,0.877822,0.036542,0.012364,0.036542,0.012364
2022-03-15T00:00:00,0.035198,0.046213,0.048374,0.03043,0.047264,0.031625,0.03043,0.48688,0.213156,0.03043,0.029015,0.038934,0.031599,-0.009197,0.044686,0.028896,0.025213,0.066295,-0.00794,0.047812,0.039903,0.151517,0.029531,0.015865,0.029531,0.015865
2022-03-16T00:00:00,0.0369,0.078518,0.05168,0.032319,0.058528,0.077615,0.026557,0.369235,0.224198,0.044451,0.006454,0.027008,0.00419,0.013064,0.012645,0.005106,0.002819,0.011022,0.008004,0.037335,0.011733,0.266891,0.012765,0.007724,0.012765,0.007724
2022-03-17T00:00:00,0.049446,0.061525,0.059225,0.034902,0.063627,0.02627,0.026643,0.420315,0.220007,0.038039,0.020919,0.025512,0.017084,-0.011086,-0.000357,0.010536,0.017648,0.068118,0.0134,0.038768,0.037007,0.159833,0.020054,0.014333,0.020054,0.014333
2022-03-18T00:00:00,0.034656,0.05567,0.038901,0.030606,0.08414,0.030606,0.033521,0.489697,0.171597,0.030606,0.008538,0.001495,-0.000176,0.005662,-0.003212,-0.012882,-0.004227,0.010623,-0.008815,0.017418,0.003962,0.183919,0.001442,0.007294,0.001442,0.007294
2022-03-21T00:00:00,0.063398,0.075947,0.060858,0.03294,0.084683,0.025609,0.04289,0.317558,0.264303,0.031813,0.020801,0.021038,0.027674,-0.00472,0.021267,0.01143,0.016379,-0.007855,0.010375,0.079053,0.010004,0.359743,0.019544,0.014146,0.019544,0.014146
2022-03-22T00:00:00,0.047631,0.05498,0.052269,0.037151,0.061816,0.0259,0.046403,0.404935,0.23012,0.038795,0.008234,-0.008982,-0.011386,-0.003771,-0.019913,-0.021028,-0.01503,-0.033555,-0.017237,0.005161,-0.020664,0.211977,-0.011751,0.009716,-0.011751,0.009716
2022-03-23T00:00:00,0.047327,0.051047,0.048762,0.061964,0.056214,0.031142,0.029989,0.479826,0.163742,0.029989,0.022678,0.001478,0.02384,0.005162,0.00651,0.020954,0.015393,0.098151,0.023013,0.014823,0.055419,0.219287,0.0232,0.014775,0.0232,0.014775
2022-03-24T00:00:00,0.040666,0.05429,0.041314,0.029852,0.075056,0.029852,0.029852,0.477634,0.191631,0.029852,0.003734,0.006868,0.000713,0.009587,0.008743,-0.000945,-0.001381,-0.01627,-0.006201,-0.003235,-0.007629,0.124468,0.000161,0.005767,0.000161,0.005767
2022-03-25T00:00:00,0.045564,0.069092,0.052765,0.033968,0.099368,0.025103,0.025103,0.401647,0.217633,0.029757,0.005037,0.025593,-0.001535,0.005144,-0.007399,0.004212,0.023116,0.019031,0.02288,0.080345,0.017056,0.163885,0.017642,0.016264,0.017642,0.016264
