date,w_AAPL,w_AMZN,w_GOOGL,w_JNJ,w_JPM,w_MA,w_MSFT,w_NVDA,w_ORCL,w_TSLA,ret_AAPL,ret_AMZN,ret_GOOGL,ret_JNJ,ret_JPM,ret_MA,ret_MSFT,ret_NVDA,ret_ORCL,ret_TSLA,portfolio_pnl,turnover,equal_weight_pnl,equal_weight_turnover,mvo_pnl,mvo_turnover
2022-03-14T00:00:00,0.039668,0.038105,0.038105,0.038105,0.038105,0.038105,0.040176,0.609676,0.081852,0.038105,0.029677,0.038868,0.02578,0.025919,0.017746,0.019508,0.038743,0.077028,0.045803,0.046348,0.060081,1.019351,0.036542,0.012364,0.036542,0.012364
2022-03-15T00:00:00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.029015,0.038934,0.031599,-0.009197,0.044686,0.028896,0.025213,0.066295,-0.00794,0.047812,0.05159,0.081498,0.029531,0.015865,0.029531,0.015865
2022-03-16T00:00:00,0.034045,0.037549,0.034045,0.034045,0.034045,0.124137,0.034045,0.544714,0.089082,0.034295,0.006454,0.027008,0.00419,0.013064,0.012645,0.005106,0.002819,0.011022,0.008004,0.037335,0.010979,0.272694,0.012765,0.007724,0.012765,0.007724
2022-03-17T00:00:00,0.039147,0.039147,0.039147,0.039147,0.039147,0.039147,0.039147,0.626346,0.060481,0.039147,0.020919,0.025512,0.017084,-0.011086,-0.000357,0.010536,0.017648,0.068118,0.0134,0.038768,0.048135,0.225217,0.020054,0.014333,0.020054,0.014333
2022-03-18T00:00:00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.008538,0.001495,-0.000176,0.005662,-0.003212,-0.012882,-0.004227,0.010623,-0.008815,0.017418,0.00695,0.036954,0.001442,0.007294,0.001442,0.007294
2022-03-21T00:00:00,0.059854,0.047517,0.038102,0.030894,0.073985,0.030894,0.044058,0.4943,0.149503,0.030894,0.020801,0.021038,0.027674,-0.00472,0.021267,0.01143,0.016379,-0.007855,0.010375,0.079053,0.005912,0.35309,0.019544,0.014146,0.019544,0.014146
2022-03-22T00:00:00,0.038175,0.038175,0.038175,0.038175,0.038175,0.038175,0.038175,0.610798,0.083803,0.038175,0.008234,-0.008982,-0.011386,-0.003771,-0.019913,-0.021028,-0.01503,-0.033555,-0.017237,0.005161,-0.024486,0.286036,-0.011751,0.009716,-0.011751,0.009716
2022-03-23T00:00:00,0.039979,0.039979,0.039979,0.039979,0.039979,0.039979,0.039979,0.639666,0.040501,0.039979,0.022678,0.001478,0.02384,0.005162,0.00651,0.020954,0.015393,0.098151,0.023013,0.014823,0.068147,0.087849,0.0232,0.014775,0.0232,0.014775
2022-03-24T00:00:00,0.038492,0.038492,0.038492,0.038492,0.038492,0.038492,0.038492,0.615872,0.076193,0.038492,0.003734,0.006868,0.000713,0.009587,0.008743,-0.000945,-0.001381,-0.01627,-0.006201,-0.003235,-0.009566,0.083525,0.000161,0.005767,0.000161,0.005767
2022-03-25T00:00:00,0.039405,0.037196,0.037196,0.037196,0.037196,0.037196,0.037196,0.595132,0.105094,0.037196,0.005037,0.025593,-0.001535,0.005144,-0.007399,0.004212,0.023116,0.019031,0.02288,0.080345,0.018745,0.058076,0.017642,0.016264,0.017642,0.016264
2022-03-28T00:00:00,0.039888,0.039888,0.039888,0.039888,0.039888,0.039888,0.039888,0.638205,0.042693,0.039888,0.019134,0.00192,0.007423,-0.000506,0.002201,0.048675,0.015159,0.015486,0.008254,0.00708,0.014268,0.125654,0.012483,0.009585,0.012483,0.009585
2022-03-29T00:00:00,0.039223,0.039223,0.039223,0.039223,0.039223,0.039223,0.039223,0.627575,0.058638,0.039223,-0.00665,-0.017801,-0.003979,0.010408,-0.004533,-0.014447,-0.004914,-0.03371,-0.011033,-0.005075,-0.023646,0.032396,-0.009173,0.008134,-0.009173,0.008134
2022-03-30T00:00:00,0.037319,0.037319,0.037319,0.037319,0.054257,0.037319,0.037319,0.597096,0.087416,0.037319,-0.017776,-0.019865,-0.020227,-0.013141,-0.030027,-0.013417,-0.017683,-0.01459,-0.007558,-0.014982,-0.015371,0.084574,-0.016926,0.004261,-0.016926,0.004261
2022-03-31T00:00:00,0.039241,0.039241,0.039241,0.039241,0.039241,0.039241,0.039241,0.627862,0.058206,0.039241,-0.001718,0.003451,0.007788,0.005417,-0.007409,0.01844,0.0036,-0.021036,-0.008703,0.006487,-0.0123,0.088224,0.000632,0.008273,0.000632,0.008273
2022-04-01T00:00:00,0.039094,0.039094,0.039094,0.039094,0.039094,0.039094,0.039094,0.625503,0.061746,0.039094,0.023693,0.029264,0.020128,-0.009653,0.004434,0.008078,0.017937,0.024259,0.025119,0.056113,0.022589,0.013043,0.019937,0.01156,0.019937,0.01156
2022-04-04T00:00:00,0.038254,0.038254,0.038254,0.038254,0.038254,0.038254,0.038254,0.612059,0.081912,0.038254,-0.018942,-0.025492,-0.01665,0.00646,-0.011552,-0.009784,-0.012985,-0.05223,-0.013441,-0.047309,-0.038281,0.04081,-0.020193,0.013156,-0.020193,0.013156
2022-04-05T00:00:00,0.033729,0.060196,0.044212,0.031518,0.040558,0.031518,0.031518,0.504287,0.160408,0.062056,-0.018451,-0.0323,-0.028757,0.026012,-0.013874,-0.026891,-0.036606,-0.058771,-0.009887,-0.041695,-0.039393,0.25663,-0.024122,0.016455,-0.024122,0.016455
2022-04-06T00:00:00,0.037183,0.037183,0.038137,0.037183,0.037183,0.037183,0.037183,0.594923,0.103807,0.040036,0.001804,-0.006119,-0.00483,-0.002579,-0.003042,-0.009928,0.006244,-0.008153,-0.003166,0.010997,-0.00543,0.235748,-0.001877,0.004945,-0.001877,0.004945
2022-04-07T00:00:00,0.033371,0.049469,0.04425,0.033371,0.038437,0.033371,0.038313,0.533929,0.16212,0.033371,-0.011909,-0.021067,-0.019141,0.001981,0.018308,0.007781,-0.0146,-0.044985,-0.007358,-0.030049,-0.028031,0.156675,-0.012104,0.014034,-0.012104,0.014034
2022-04-08T00:00:00,0.084182,0.043734,0.035414,0.033088,0.044119,0.033088,0.039899,0.529409,0.114434,0.042633,-0.025516,-0.021614,-0.033492,-0.012519,-0.003671,-0.01391,-0.039432,-0.051992,-0.014579,-0.048328,-0.038143,0.13858,-0.026505,0.013811,-0.026505,0.013811
2022-04-11T00:00:00,0.039464,0.039464,0.039464,0.039464,0.039464,0.039464,0.039464,0.631423,0.052865,0.039464,0.011523,-0.002213,-0.008609,0.000334,-0.010977,-0.00452,-0.011218,-0.018844,-0.005391,0.011292,-0.012751,0.249106,-0.003862,0.007305,-0.003862,0.007305
