date,w_AAPL,w_AMZN,w_GOOGL,w_JNJ,w_JPM,w_MA,w_MSFT,w_NVDA,w_ORCL,w_TSLA,ret_AAPL,ret_AMZN,ret_GOOGL,ret_JNJ,ret_JPM,ret_MA,ret_MSFT,ret_NVDA,ret_ORCL,ret_TSLA,portfolio_pnl,turnover,equal_weight_pnl,equal_weight_turnover,mvo_pnl,mvo_turnover
2022-03-14T00:00:00,0.089611,0.091655,0.112727,0.065301,0.111046,0.038089,0.062311,0.169125,0.205043,0.055092,0.029677,0.038868,0.02578,0.025919,0.017746,0.019508,0.038743,0.077028,0.045803,0.046348,0.04092,0.395882,0.036542,0.012364,0.036542,0.012364
2022-03-15T00:00:00,0.08004,0.098335,0.098456,0.057255,0.096879,0.044764,0.054764,0.233183,0.193919,0.042405,0.029015,0.038934,0.031599,-0.009197,0.044686,0.028896,0.025213,0.066295,-0.00794,0.047812,0.031685,0.145022,0.029531,0.015865,0.029531,0.015865
2022-03-16T00:00:00,0.074637,0.134283,0.074022,0.065927,0.115812,0.053697,0.061952,0.171118,0.190031,0.058523,0.006454,0.027008,0.00419,0.013064,0.012645,0.005106,0.002819,0.011022,0.008004,0.037335,0.012785,0.19902,0.012765,0.007724,0.012765,0.007724
2022-03-17T00:00:00,0.080832,0.096676,0.10174,0.064582,0.120629,0.040961,0.057133,0.173581,0.201668,0.062198,0.020919,0.025512,0.017084,-0.011086,-0.000357,0.010536,0.017648,0.068118,0.0134,0.038768,0.023514,0.114787,0.020054,0.014333,0.020054,0.014333
2022-03-18T00:00:00,0.072446,0.113318,0.091189,0.046127,0.110954,0.04512,0.053868,0.244935,0.174799,0.047243,0.008538,0.001495,-0.000176,0.005662,-0.003212,-0.012882,-0.004227,0.010623,-0.008815,0.017418,0.001752,0.169842,0.001442,0.007294,0.001442,0.007294
2022-03-21T00:00:00,0.101377,0.12849,0.11621,0.070858,0.118617,0.039877,0.06634,0.116188,0.181822,0.060221,0.020801,0.021038,0.027674,-0.00472,0.021267,0.01143,0.016379,-0.007855,0.010375,0.079053,0.017493,0.271,0.019544,0.014146,0.019544,0.014146
2022-03-22T00:00:00,0.079631,0.093162,0.09707,0.05508,0.120265,0.043088,0.062129,0.176391,0.204073,0.06911,0.008234,-0.008982,-0.011386,-0.003771,-0.019913,-0.021028,-0.01503,-0.033555,-0.017237,0.005161,-0.014808,0.193046,-0.011751,0.009716,-0.011751,0.009716
2022-03-23T00:00:00,0.076103,0.10205,0.097053,0.081537,0.090368,0.04738,0.059018,0.259835,0.130092,0.056565,0.022678,0.001478,0.02384,0.005162,0.00651,0.020954,0.015393,0.098151,0.023013,0.014823,0.036436,0.25108,0.0232,0.014775,0.0232,0.014775
2022-03-24T00:00:00,0.069723,0.097964,0.102011,0.054953,0.116452,0.040732,0.056704,0.230276,0.177249,0.053937,0.003734,0.006868,0.000713,0.009587,0.008743,-0.000945,-0.001381,-0.01627,-0.006201,-0.003235,-0.002586,0.167345,0.000161,0.005767,0.000161,0.005767
2022-03-25T00:00:00,0.078737,0.121921,0.105095,0.072247,0.144558,0.042368,0.060554,0.175254,0.140469,0.058796,0.005037,0.025593,-0.001535,0.005144,-0.007399,0.004212,0.023116,0.019031,0.02288,0.080345,0.015509,0.175998,0.017642,0.016264,0.017642,0.016264
