date,w_AAPL,w_AMZN,w_GOOGL,w_JNJ,w_JPM,w_MA,w_MSFT,w_NVDA,w_ORCL,w_TSLA,ret_AAPL,ret_AMZN,ret_GOOGL,ret_JNJ,ret_JPM,ret_MA,ret_MSFT,ret_NVDA,ret_ORCL,ret_TSLA,portfolio_pnl,turnover,equal_weight_pnl,equal_weight_turnover,mvo_pnl,mvo_turnover
2022-03-14T00:00:00,0.042588,0.043457,0.043822,0.024343,0.038776,0.024343,0.024675,0.389486,0.344166,0.024343,0.029677,0.038868,0.02578,0.025919,0.017746,0.019508,0.038743,0.077028,0.045803,0.046348,0.053726,1.067306,0.036542,0.012364,0.036542,0.012364
2022-03-15T00:00:00,0.028305,0.030388,0.028305,0.028305,0.028305,0.028305,0.028305,0.452882,0.318595,0.028305,0.029015,0.038934,0.031599,-0.009197,0.044686,0.028896,0.025213,0.066295,-0.00794,0.047812,0.034282,0.144505,0.029531,0.015865,0.029531,0.015865
2022-03-16T00:00:00,0.038173,0.052719,0.050392,0.02475,0.052786,0.037923,0.02475,0.384317,0.309438,0.02475,0.006454,0.027008,0.00419,0.013064,0.012645,0.005106,0.002819,0.011022,0.008004,0.037335,0.010772,0.184358,0.012765,0.007724,0.012765,0.007724
2022-03-17T00:00:00,0.030987,0.04195,0.045016,0.02647,0.046129,0.02647,0.02647,0.423515,0.306525,0.02647,0.020919,0.025512,0.017084,-0.011086,-0.000357,0.010536,0.017648,0.068118,0.0134,0.038768,0.036906,0.087498,0.020054,0.014333,0.020054,0.014333
2022-03-18T00:00:00,0.034424,0.039361,0.030255,0.030255,0.059543,0.030255,0.030255,0.484076,0.231322,0.030255,0.008538,0.001495,-0.000176,0.005662,-0.003212,-0.012882,-0.004227,0.010623,-0.008815,0.017418,0.00344,0.168565,0.001442,0.007294,0.001442,0.007294
2022-03-21T00:00:00,0.045374,0.053632,0.049704,0.02432,0.058534,0.02432,0.02432,0.351284,0.344191,0.02432,0.020801,0.021038,0.027674,-0.00472,0.021267,0.01143,0.016379,-0.007855,0.010375,0.079053,0.007988,0.320748,0.019544,0.014146,0.019544,0.014146
2022-03-22T00:00:00,0.039786,0.042409,0.040215,0.024343,0.051826,0.024343,0.032565,0.385727,0.334443,0.024343,0.008234,-0.008982,-0.011386,-0.003771,-0.019913,-0.021028,-0.01503,-0.033555,-0.017237,0.005161,-0.021218,0.096671,-0.011751,0.009716,-0.011751,0.009716
2022-03-23T00:00:00,0.029839,0.036389,0.034702,0.038324,0.05944,0.028452,0.028452,0.455239,0.260709,0.028452,0.022678,0.001478,0.02384,0.005162,0.00651,0.020954,0.015393,0.098151,0.023013,0.014823,0.05428,0.206047,0.0232,0.014775,0.0232,0.014775
2022-03-24T00:00:00,0.039259,0.041196,0.035946,0.029234,0.072089,0.029234,0.029234,0.467752,0.226819,0.029234,0.003734,0.006868,0.000713,0.009587,0.008743,-0.000945,-0.001381,-0.01627,-0.006201,-0.003235,-0.007814,0.079784,0.000161,0.005767,0.000161,0.005767
2022-03-25T00:00:00,0.037466,0.044562,0.042046,0.025744,0.082364,0.024102,0.024102,0.366822,0.328689,0.024102,0.005037,0.025593,-0.001535,0.005144,-0.007399,0.004212,0.023116,0.019031,0.02288,0.080345,0.017884,0.238241,0.017642,0.016264,0.017642,0.016264
2022-03-28T00:00:00,0.053551,0.041628,0.042831,0.0305,0.08867,0.0305,0.0305,0.487996,0.163324,0.0305,0.019134,0.00192,0.007423,-0.000506,0.002201,0.048675,0.015159,0.015486,0.008254,0.00708,0.01267,0.340498,0.012483,0.009585,0.012483,0.009585
2022-03-29T00:00:00,0.032428,0.051676,0.035017,0.027476,0.068084,0.027476,0.027476,0.439614,0.263277,0.027476,-0.00665,-0.017801,-0.003979,0.010408,-0.004533,-0.014447,-0.004914,-0.03371,-0.011033,-0.005075,-0.019693,0.22231,-0.009173,0.008134,-0.009173,0.008134
2022-03-30T00:00:00,0.037265,0.041986,0.032153,0.024122,0.083264,0.024122,0.024122,0.385953,0.322891,0.024122,-0.017776,-0.019865,-0.020227,-0.013141,-0.030027,-0.013417,-0.017683,-0.01459,-0.007558,-0.014982,-0.014147,0.151641,-0.016926,0.004261,-0.016926,0.004261
2022-03-31T00:00:00,0.03509,0.039829,0.041507,0.027273,0.062204,0.027273,0.027273,0.436376,0.2759,0.027273,-0.001718,0.003451,0.007788,0.005417,-0.007409,0.01844,0.0036,-0.021036,-0.008703,0.006487,-0.010716,0.145638,0.000632,0.008273,0.000632,0.008273
2022-04-01T00:00:00,0.03389,0.038679,0.037311,0.025684,0.060572,0.025684,0.025684,0.41095,0.315861,0.025684,0.023693,0.029264,0.020128,-0.009653,0.004434,0.008078,0.017937,0.024259,0.025119,0.056113,0.022719,0.078798,0.019937,0.01156,0.019937,0.01156
2022-04-04T00:00:00,0.027475,0.038964,0.04185,0.026401,0.085621,0.026401,0.026401,0.422418,0.278067,0.026401,-0.018942,-0.025492,-0.01665,0.00646,-0.011552,-0.009784,-0.012985,-0.05223,-0.013441,-0.047309,-0.030679,0.090207,-0.020193,0.013156,-0.020193,0.013156
2022-04-05T00:00:00,0.044131,0.048291,0.045959,0.03081,0.115747,0.02514,0.02514,0.237393,0.402247,0.02514,-0.018451,-0.0323,-0.028757,0.026012,-0.013874,-0.026891,-0.036606,-0.058771,-0.009887,-0.041695,-0.025074,0.360027,-0.024122,0.016455,-0.024122,0.016455
2022-04-06T00:00:00,0.035663,0.04318,0.053615,0.025591,0.117049,0.025591,0.025591,0.40945,0.238142,0.02613,0.001804,-0.006119,-0.00483,-0.002579,-0.003042,-0.009928,0.006244,-0.008153,-0.003166,0.010997,-0.00478,0.381508,-0.001877,0.004945,-0.001877,0.004945
2022-04-07T00:00:00,0.034785,0.047458,0.045313,0.030244,0.100042,0.024495,0.029769,0.291442,0.371957,0.024495,-0.011909,-0.021067,-0.019141,0.001981,0.018308,0.007781,-0.0146,-0.044985,-0.007358,-0.030049,-0.017218,0.292515,-0.012104,0.014034,-0.012104,0.014034
2022-04-08T00:00:00,0.072114,0.06384,0.058356,0.037866,0.153447,0.024743,0.030594,0.297383,0.236914,0.024743,-0.025516,-0.021614,-0.033492,-0.012519,-0.003671,-0.01391,-0.039432,-0.051992,-0.014579,-0.048328,-0.027873,0.278301,-0.026505,0.013811,-0.026505,0.013811
2022-04-11T00:00:00,0.028538,0.034138,0.033275,0.02583,0.075277,0.02583,0.02583,0.413283,0.312167,0.02583,0.011523,-0.002213,-0.008609,0.000334,-0.010977,-0.00452,-0.011218,-0.018844,-0.005391,0.011292,-0.010437,0.395264,-0.003862,0.007305,-0.003862,0.007305
